city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tel Aviv-Yafo,32.0800,34.7800,Israel,IL,Tel Aviv,admin,1388400,460613
Jerusalem,31.7789,35.2256,Israel,IL,Jerusalem,primary,936425,936425
Haifa,32.8192,34.9992,Israel,IL,Haifa,admin,600000,282831
Rishon LeẔiyyon,31.9500,34.8000,Israel,IL,Central,,249860,249860
Petaẖ Tiqwa,32.0889,34.8864,Israel,IL,Central,,236169,236169
Ashdod,31.8000,34.6500,Israel,IL,Southern,,220174,220174
Netanya,32.3286,34.8567,Israel,IL,Central,,217200,217200
Beersheba,31.2589,34.7997,Israel,IL,Southern,admin,209000,209000
Holon,32.0167,34.7667,Israel,IL,Tel Aviv,,194300,194300
Bené Beraq,32.0833,34.8333,Israel,IL,Tel Aviv,,193774,193774
Ramat Gan,32.0700,34.8236,Israel,IL,Tel Aviv,,159200,159200
Ashqelon,31.6667,34.5667,Israel,IL,Southern,,134454,134454
Reẖovot,31.8969,34.8167,Israel,IL,Central,,132671,132671
Bat Yam,32.0167,34.7500,Israel,IL,Tel Aviv,,128800,128800
Bet Shemesh,31.7456,34.9867,Israel,IL,Jerusalem,,118700,118700
Kefar Sava,32.1714,34.9083,Israel,IL,Central,,100800,100800
Modi‘in Makkabbim Re‘ut,31.9077,35.0076,Israel,IL,Central,,97097,97097
Hadera,32.4500,34.9167,Israel,IL,Haifa,,95700,95700
Herẕliyya,32.1653,34.8458,Israel,IL,Tel Aviv,,93989,93989
Nazareth,32.7019,35.3033,Israel,IL,Northern,admin,83400,83400
Lod,31.9519,34.8881,Israel,IL,Central,,75700,75700
Ramla,31.9275,34.8625,Israel,IL,Central,admin,75500,75500
Ra‘ananna,32.1833,34.8667,Israel,IL,Central,,74000,74000
Qiryat Gat,31.6061,34.7717,Israel,IL,Southern,,65610,65610
Rahat,31.3925,34.7544,Israel,IL,Southern,,64462,64462
Nahariyya,33.0058,35.0989,Israel,IL,Northern,,60000,60000
Afula,32.6064,35.2881,Israel,IL,Northern,,60000,60000
Givatayim,32.0714,34.8100,Israel,IL,Tel Aviv,,59518,59518
Hod HaSharon,32.1500,34.8833,Israel,IL,Central,,56659,56659
Rosh Ha‘Ayin,32.0956,34.9567,Israel,IL,Central,,56300,56300
Qiryat Ata,32.8000,35.1000,Israel,IL,Haifa,,55464,55464
Umm el Faḥm,32.5194,35.1536,Israel,IL,Haifa,,55300,55300
Eilat,29.5569,34.9517,Israel,IL,Southern,,51935,51935
Nes Ẕiyyona,31.9333,34.8000,Israel,IL,Central,,50200,50200
‘Akko,32.9278,35.0817,Israel,IL,Northern,,48900,48900
El‘ad,32.0522,34.9511,Israel,IL,Central,,48763,48763
Ramat HaSharon,32.1500,34.8333,Israel,IL,Tel Aviv,,46700,46700
Karmiel,32.9136,35.2961,Israel,IL,Northern,,45300,45300
Tiberias,32.7944,35.5333,Israel,IL,Northern,,44200,44200
Eṭ Ṭaiyiba,32.2667,35.0103,Israel,IL,Central,,43100,43100
Ben Zakkay,31.8558,34.7300,Israel,IL,Central,,42314,42314
Pardés H̱anna Karkur,32.4711,34.9675,Israel,IL,Haifa,,42100,42100
Qiryat Moẕqin,32.8333,35.0833,Israel,IL,Haifa,,42000,42000
Qiryat Ono,32.0636,34.8553,Israel,IL,Tel Aviv,,41900,41900
Shefar‘am,32.8056,35.1694,Israel,IL,Northern,,41600,41600
Qiryat Bialik,32.8333,35.0833,Israel,IL,Haifa,,39900,39900
Qiryat Yam,32.8333,35.0667,Israel,IL,Haifa,,39416,39416
Or Yehuda,32.0306,34.8533,Israel,IL,Tel Aviv,,36706,36706
Ẕefat,32.9658,35.4983,Israel,IL,Northern,,35700,35700
Dimona,31.0667,35.0333,Israel,IL,Southern,,34135,34135
Tamra,32.8536,35.1978,Israel,IL,Northern,,34000,34000
Netivot,31.4167,34.5833,Israel,IL,Southern,,31314,31314
Sakhnīn,32.8667,35.3000,Israel,IL,Northern,,31100,31100
Be’er Ya‘aqov,31.9425,34.8336,Israel,IL,Central,,29852,29852
Yehud,32.0333,34.8833,Israel,IL,Central,,29146,29146
Ofaqim,31.3167,34.6167,Israel,IL,Southern,,29000,29000
Kefar Yona,32.3171,34.9358,Israel,IL,Central,,28025,28025
Al Buţayḩah,32.9087,35.6320,Israel,IL,Northern,minor,,
Al Khushnīyah,32.9994,35.8108,Israel,IL,Northern,minor,,
Fīq,32.7793,35.7003,Israel,IL,Northern,minor,,
